full_name,element_id,content_count,section_header,section_content_preview
Hans Evers,4:efc8ecef-1ae9-4ae6-a5c6-3ab222bbb2a5:3387,1,#,"Hans Evers (1969)
Hans Evers (* 24. September 1925 in Helsinki, Finnland; † 3. März 1999 in Freiburg..."
Artur Jahn,4:efc8ecef-1ae9-4ae6-a5c6-3ab222bbb2a5:8061,1,#,Artur Wilhelm Paul Jahn (* 18. März 1904 in Stuttgart; † 16. Oktober 1983 in Kirchheim unter Teck) w...
Karl-Heinz Stienen,4:efc8ecef-1ae9-4ae6-a5c6-3ab222bbb2a5:17449,1,#,Karl-Heinz Stienen (* 11. Juli 1932 in Duisburg; † 17. Februar 2004 in Krefeld) war ein deutscher Po...
Daniel Bahr,4:efc8ecef-1ae9-4ae6-a5c6-3ab222bbb2a5:50438,1,,N/A
Heinz-Joachim Barchmann,4:efc8ecef-1ae9-4ae6-a5c6-3ab222bbb2a5:50441,1,,N/A
Ernst Bahr,4:efc8ecef-1ae9-4ae6-a5c6-3ab222bbb2a5:50444,1,,N/A
Philipp Amthor,4:efc8ecef-1ae9-4ae6-a5c6-3ab222bbb2a5:50447,1,,N/A
Norbert Altenkamp,4:efc8ecef-1ae9-4ae6-a5c6-3ab222bbb2a5:50450,1,,N/A
Hermann Barche,4:efc8ecef-1ae9-4ae6-a5c6-3ab222bbb2a5:50454,1,,N/A
Bela Bach,4:efc8ecef-1ae9-4ae6-a5c6-3ab222bbb2a5:50459,1,,N/A
Eckhardt Barthel,4:efc8ecef-1ae9-4ae6-a5c6-3ab222bbb2a5:50475,1,,N/A
Moses Arndt,4:efc8ecef-1ae9-4ae6-a5c6-3ab222bbb2a5:50478,1,,N/A
Uwe Barth,4:efc8ecef-1ae9-4ae6-a5c6-3ab222bbb2a5:50487,1,,N/A
