ID;Vorname;Nachname;Bundesministeramt;Geschlecht;Von;Bis;Geboren;Alter bei Antritt des Amts;Partei;Höchster Abschluss nach DQR;DQR Niveau;Link
#001;Joschka;Fischer;Auswärtiges;M;1998;2005;1948;50;Bündnis 90/Die Grünen;Mittlerer Schulabschluss;3;https://de.wikipedia.org/wiki/Joschka_Fischer#:~:text=April%201948%20in%20Gerabronn)%20ist,Januar%201999%20bis%20zum%2030.&text=Ein%20knappes%20Jahr%20nach%20der,aus%20der%20aktiven%20Politik%20zur%C3%BCck.
#002;Hans;Klein;Besondere Aufgaben;M;1989;1990;1931;58;CSU;Mittlerer Schulabschluss;3;https://de.wikipedia.org/wiki/Hans_Klein_(Politiker,_1931)
#003;Alex;Möller;Finanzen;M;1969;1971;1903;66;SPD;Mittlerer Schulabschluss (MSA);3;https://de.wikipedia.org/wiki/Alex_M%C3%B6ller
#004;Walter ;Arendt;Arbeit und Sozialordnung;M;1969;1976;1925;44;SPD;Ausbildung Bergmann;4;https://de.wikipedia.org/wiki/Walter_Arendt
#005;Egon ;Bahr;Wirtschaftliche Zusammenarbeit;M;1974;1976;1922;52;SPD;Ausbildung Industriekaufmann;4;https://de.wikipedia.org/wiki/Egon_Bahr
#006;Theodor;Blank;Arbeit und Sozialordnung;M;1957;1965;1905;52;CDU;Theodor Blank;4;https://de.wikipedia.org/wiki/Theodor_Blank#:~:text=Theodor%20Anton%20Blank%20(*%2019,Verteidigung)%2C%20aufbaute%20und%20leitete.
#007;Kurt;Bodewig;Verkehr, Bau und Wohnungswesen;M;2000;2002;1955;45;SPD;Fachgebundene Hochschulreife;4;https://de.wikipedia.org/wiki/Kurt_Bodewig#:~:text=9%20Einzelnachweise-,Leben%20und%20Beruf,1976%20mit%20dem%20Fachabitur%20verlie%C3%9F.&text=2007%20wurde%20Bodewig%20zum%20Pr%C3%A4sidenten%20der%20Deutschen%20Verkehrswacht%20e.
#008;Willy;Brandt;Auswärtiges;M;1966;1969;1913;53;SPD;Allgemeine Hochschulreife (AHR);4;https://de.wikipedia.org/wiki/Willy_Brandt
#009;Aenne;Brauksiepe;Familie und Jugend;W;1968;1969;1912;56;CDU;Allgemeine Hochschulreife (AHR);4;https://de.wikipedia.org/wiki/Aenne_Brauksiepe
#010;Egon;Franke;Innderdeutsche Beziehungen;M;1969;1982;1913;56;SPD;Ebenist ( Kunstschreiner);4;https://de.wikipedia.org/wiki/Egon_Franke
#011;Antje;Huber;Jugend, Familie und Gesundheit;W;1976;1982;1924;52;SPD;Allgemeine Hochschulreife;4;https://de.wikipedia.org/wiki/Antje_Huber#:~:text=Antje%20Huber%20geb.,f%C3%BCr%20Jugend%2C%20Familie%20und%20Gesundheit.
#012;Hans;Katzer;Arbeit und Sozialordnung;M;1965;1969;1919;46;CDU;Kaufmännische Lehre;4;https://de.wikipedia.org/wiki/Hans_Katzer
#013;Georg;Leber;Verteidigung;M;1972;1978;1920;52;SPD;Maurerlehre;4;https://de.wikipedia.org/wiki/Georg_Leber
#014;Paul;Lücke;Inneres;M;1965;1968;1914;51;CDU;Schlosser Lehre;4;https://de.wikipedia.org/wiki/Paul_L%C3%BCcke#:~:text=Paul%20L%C3%BCcke%20(*%2013.,bis%201968%20Bundesminister%20des%20Innern.
#015;Franz;Müntefering;Arbeit und Soziales;M;2005;2007;1940;65;SPD;Industriekaufmann;4;https://de.wikipedia.org/wiki/Franz_M%C3%BCntefering#:~:text=Franz%20M%C3%BCntefering%20(*%2016.,Wohnungswesen%20im%20ersten%20Kabinett%20Schr%C3%B6der.
#016;Karl;Ravens;Raumordnung, Bauwesen und Städtebau;M;1974;1978;1927;47;SPD;Kraftfahrzeugschlosser ;4;https://de.wikipedia.org/wiki/Karl_Ravens#:~:text=Karl%20Ravens%20(*%2029.,f%C3%BCr%20Raumordnung%2C%20Bauwesen%20und%20St%C3%A4dtebau.
#017;Hannelore;Rönsch;Familie und Senioren;W;1991;1994;1942;49;CDU;Fachhochschulreife;4;https://de.wikipedia.org/wiki/Hannelore_R%C3%B6nsch#:~:text=Von%201974%20bis%201980%20war,der%20CDU%2FCSU%2DBundestagsfraktion.
#018;Walter ;Scheel;Auswärtiges;M;1969;1974;1919;50;FDP;Banklehre;4;https://de.wikipedia.org/wiki/Walter_Scheel
#019;Renate;Schmidt;Familie, Senioren, Frauen und Jugend;W;2002;2005;1943;59;SPD;Ausbildung Fachinformatiker;4;https://de.wikipedia.org/wiki/Renate_Schmidt
#020;Kurt;Schmücker;Wirtschaft;M;1963;1966;1919;44;CDU;Buchdruckerlehre, Jounralistische und verlegerische Ausbildung;4;https://de.wikipedia.org/wiki/Kurt_Schm%C3%BCcker#:~:text=Karl%20Bernhard%20Kurt%20Schm%C3%BCcker%20(*,von%201966%20bis%201969%20Bundesschatzminister.
#021;Käte;Strobel;Jugend, Familie und Gesundheit;W;1969;1972;1907;62;SPD;Kaufmännische Ausbildung;4;https://de.wikipedia.org/wiki/K%C3%A4te_Strobel
#022;Richard;Stücklen;Post- und Fernmeldewesen;M;1957;1966;1916;41;CDU;Ausbildung Elektroingenieur;4;https://de.wikipedia.org/wiki/Richard_St%C3%Bccklen
#023;Kai-Uwe;von Hassel;Verteidigung;M;1963;1966;1913;50;CDU;Pflanzungskaufmann;4;https://de.wikipedia.org/wiki/Kai-Uwe_von_Hassel
#024;Herbert;Wehnert;Gesamtdeutsche Fragen;M;1966;1969;1906;60;SPD;Kaufmännische Lehre;4;https://de.wikipedia.org/wiki/Herbert_Wehner
#025;Heinz;Westphal;Arbeit und Sozialordnung;M;1982;1982;1924;58;SPD;Lehre als Flugmotorenschlosser ;4;https://de.wikipedia.org/wiki/Heinz_Westphal
